title,genres,overview
Urban Explorer,"Horror, Thriller","Anxious to explore the mysterious hidden world under metropolitan Berlin, an international group of four urban explorers hires a local guide, Kris, who leads them into the maze of escape tunnels and subterranean fortifications under the city. When their guide has a bad fall, two of the girls in the group frantically set off to seek help while Denis, the young American, stays behind. Armin, a former East German border guard suddenly appears from nowhere. Out of sheer desperation, Denis allows Armin to lead them and their unconscious guide to safety and it is at this moment that Denis realizes he has just made the biggest mistake of his life!"
A Generation,"War, Drama","A Generation is set in Wola, a working-class section of Warsaw, in 1942 and tells the stories of two young men at odds with the Nazi occupation of Poland."
London Boulevard,"Drama, Crime",A parolee battles a gangster for the affections of a reclusive movie star.
Good for Nothing,Comedy,"Easygoing Gianni looks forward to retirement - until he is informed that a change in the law obliges him to work three more years. Faced with the outrageous possibility of having to do a full day's work, he sets about finding a way to achieve a quiet life"
S.W.A.T.: Firefight,"Action, Crime, Thriller","Los Angeles S.W.A.T. officer, Lt. Paul Cutler, is sent to train the Detroit S.W.A.T. team on new anti-terrorism and homeland security techniques. Cutler has a hard time settling into his assignment as he locks horns with his new captain and encounters resistance from the team he must lead. Cutler begins to adjust to his new assignment, starting a budding romance with police psychologist Kim Byers along the way. Unexpectedly, a routine hostage call turns deadly, and a relentless ex-government agent named Walter Hatch vows revenge on Cutler and the entire S.W.A.T. team for killing the woman he loves. Cutler must use his considerable S.W.A.T. training and knowledge to save his teammates and defeat a trained killer."
Drunk Wedding,Comedy,Jon and Elissa dreamed of having an epic destination wedding surrounded by their best friends. But their trip to paradise turns into an outrageous drunken weekend they wish they could forget.
Freaked,Comedy,"A vain actor, his best friend, and an activist end up at a mutant freak farm run by a weirdo scientist."
Ram Gopal Varma Ki Aag,"Action, Comedy, Foreign","Nasik-based Heerendra Dhaan and Raj Ranade are bodyguards of a politician, but after their employer is implicated in a scam, they end up assaulting a police officer and flee to Mumbai. Once there they meet with Rambhabhai, who in turn, gets them employed with a gangster named Shambhu. After a short while the duo are apprehended by Police Inspector Narsimha, questioned, and after they agree to cooperate to bring down Shambhu, are let go. The two do succeed in assisting the police arrest Shambhu, but they themselves are arrested, tried in Court, and sentenced to a year in jail. After their discharge they are met with Inspector Narsimha, who wants to recruit them to capture and kill dreaded bandit Babban Singh, who had slaughtered his wife, Kavita, and son, Subbu, as well as cut his arms off. Heerendra and Raj agree to carry out this task for 8 Lakh Rupees. They re-locate to Kaliganj where Heerendra falls in love with auto-rickshaw driver..."
Scooby-Doo! Moon Monster Madness,"Adventure, Animation, Family","It's one giant step for dog-kind as Scooby-Doo and the Gang blast off for an epic, other-worldly adventure in this all-new original movie! After winning the last 5 seats in a lottery, Scooby-Doo, Shaggy, Fred, Daphne and Velma are off to space in billionaire Sly Baron's brand new ship, the Sly Star One. It's all gravity-free fun until a mysterious alien begins destroying the ship! As the ship breaks down, the crew is forced to land on Sly Baron's base... on the dark side of the moon! Will the gang unravel this alien mystery? Will Scooby-Doo and Shaggy find snacks on the moon? Will Fred ever take his space helmet off?! Journey to the outer limits with Scooby-Doo to find out!"
Waiting for Guffman,"Music, Comedy","Corky St. Clair is a director, actor and dancer in Blaine, Missouri. When it comes time to celebrate Blaine's 150th anniversary, Corky resolves to bring down the house in Broadway style in this hilarious mockumentary from the people who brought you ""This is Spinal Tap!"""
In the Basement,Documentary,Filmmaker Ulrich Seidl explores of the dark underside of the human psyche by entering Austrian basements fitted out as private domains for secrets and fetishes.
Chile Can Do It,"Comedy, Science Fiction",The businessman who sends the first Chilean astronaut into outer space can't quite come up with the money to bring the adventurer back.
Repo Men,"Action, Science Fiction, Thriller, Crime","In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims."
The Fjällbacka Murders: The Coast Rider,"Crime, Mystery","The young coast guard and diver Jessica finds two dead scuba divers after a storm. She disagrees with her superiors that it was an accident and seeks the help of her childhood friend Patrik. Patrik and Erica, who are on their way to a romantic holiday, make a detour to the beautiful village of Kungshamn. They soon become involved in the case. Erica hides her real identity as the policemans wife and is invited to join the museum association. Already during the first meeting she attends the associations chairman is found murdered... The three deaths are now officially opened for investigation, and the common denominator between the victims seems to have been an interest in the wreckage of a 1820s ship. Did somebody finally find it? And what cargo did it carry? What caused the ship to sink?"
Win Win,"Drama, Comedy","When down-on-his-luck part-time high school wrestling coach Mike agrees to become legal guardian to an elderly man, his ward's troubled grandson turns out to be a star grappler, sparking dreams of a big win -- until the boy's mother retrieves him."
Chained Heat,"Action, Crime, Drama, Thriller","Linda Blair plays Carol, a young woman who must serve 18 months in prison after drink driving and killing a man. The prison turns out to be brimming with decadence, corruption and sleaze, where the other female inmates are sadistic crack-selling lesbian rapists and the guards and warden are no better."
"Fire, Ice & Canned Beer",Comedy,"Two friends who are doing civil service flee to the Austrian Alps to escape being forced into the army. While there, one of them rediscovers his past and they realise that it's going to be more fun than they thought."
Light Sleeper,"Drama, Crime","A drug dealer with upscale clientele is having moral problems going about his daily deliveries. A reformed addict, he has never gotten over the wife that left him, and the couple that use him for deliveries worry about his mental well-being and his effectiveness at his job. Meanwhile someone is killing women in apparently drug-related incidents."
The Tommyknockers,"Horror, Science Fiction","The small town of Haven becomes a hot-bed of inventions all run by a strange green power device. The whole town is digging something up in the woods, and only an alcoholic poet can discover the secret of the Tommyknocker"
Bigfoot: The Lost Coast Tapes,"Horror, Mystery, Thriller","Sean Reynolds, a highly acclaimed investigative journalist (who strongly believed in paranormal phenomena), destroyed his career when the most watched episode of his reality show, based on paranormal phenomena, turned out to be a hoax. Sean saw a news report on a ""Bigfoot Hunter"" (Carl Drybeck) who claimed to possess the body of a dead Sasquatch. He believes Drybeck is a phony and decides to create a new show that reveals people's paranormal claims as hoaxes. Sean assembles his old film crew and heads to Northern California's ""Lost Coast"" to meet with and interview Drybeck. Obsessed, Sean is staking his comeback, his life and the lives of his documentary film crew on proving Drybeck's claim to be a hoax."
The Boy Next Door,"Crime, Mystery, Thriller","A novelist (Dina Meyer) moves to a little town to write her next novel. She loves to get inspiration and as time goes by she gathers information about her neighbor, a young and wealthy guy whom she observes and picture from her window most of the time. Soon, she gets involved in a crime and most of the evidence is pointing at her due to her lonely life and life style. She needs to fight to demonstrate her innocence and that's what will be the plot of the movie till the end."
Parugu,"Drama, Comedy, Foreign",Neelakanta (Prakash Raj)has two daughters. His elder daughter Subbalakshmi (Poonam Bajwa) elopes with a guy called Babu from a lower class on the night of her arranged marriage. Neelakanta men kidnap all the friends of Babu. Krishna (Allu Arjun) – a happy go lucky guy from Hyderabad – is one among them. Krishna likes a girl called Meena (Sheila) who happens to be the younger daughter of Neelakanta
Tetra Vaal,Unknown,A faux advertisement for a third-world robotic police that established Neill Blomkamp's signature style of mixing lo-fi production with seamless CGI.
Double Dynamite,"Comedy, Music","An innocent bank teller, suspected of embezzlement, is aided by an eccentric, wisecracking waiter."
A Woman's Life,Drama,"Normandy, 1819. Jeanne is a young woman full of childish dreams and innocence when she returns home after finishing her schooling in a convent. She marries a local Viscount, Julien de Lamare, who soon reveals himself to be a miserly and unfaithful man. Little by little Jeanne’s illusions are stripped away."
There's Only One Sun,Unknown,"Wong Kar-Wai  reprises his futuristic mood from 2046 and waives a spy story of lush and betrayal to advertise Aurea, the new LCD technology by Philips."
Blue Denim,Drama,"Two naive high-school students must deal with the unexpected consequences after a night of passion. Director Philip Dunne's 1959 film about teenage pregnancy stars Brandon de Wilde, Carol Lynley, Macdonald Carey, Marsha Hunt, Warren Berlinger, William Schallert and Roberta Shore."
Atari: Game Over,Documentary,"The Xbox Originals documentary that chronicles the fall of the Atari Corporation through the lens of one of the biggest mysteries of all time, dubbed “The Great Video Game Burial of 1983.” Rumor claims that millions of returned and unsold E.T. cartridges were buried in the desert, but what really happened there?"
What's a Nice Girl Like You Doing in a Place Like This?,"Comedy, Drama","A writer named Algernon (but called Harry by his friends) buys a picture of a boat on a lake, and his obsession with it renders normal life impossible."
Wise Blood,"Comedy, Drama","A Southerner--young, poor, ambitious but uneducated--determines to become something in the world. He decides that the best way to do that is to become a preacher and start up his own church."
Serving Sara,"Comedy, Romance","Serving Sara is a 2002 romantic comedy film which stars Matthew Perry, Elizabeth Hurley and Bruce Campbell. Joe Tyler (Perry) is a process server who is given the assignment to serve Sara Moore (Hurley) with divorce papers."
The Cider House Rules,Drama,"Homer is an orphan who was never adopted, becoming the favorite of orphanage director Dr. Larch. Dr. Larch imparts his full medical knowledge on Homer, who becomes a skilled, albeit unlicensed, physician. But Homer yearns for a self-chosen life outside the orphanage. What will Homer learn about life and love in the cider house? What of the destiny that Dr. Larch has planned for him?"
Sarraounia,"War, Drama, History","On January 2 1899, starting from the French Soudan, a french column under the commandment of the captains Voulet and Chanoine is send against the black Sultan Rabah in what is now the Cameroun. Those captains and their african mercenary troops destroy and kill everything they find on their path. The French autority try to stop them sending orders and a second troop but the captains even kill the emissaries who are reaching them. Sarraounia, queen of the Aznas, have heared about the exactions. Clever in war tactics and in witchcraft, she decides to resist and stop those mad men."
Blind Date,"Horror, Thriller","A man goes blind when remembering his lost girlfriend, but the doctors can't find anything wrong with his eyes. They fit him with an experimental device which allows him to see with the aid of a computer interface and brain electrodes. Meanwhile, a taxi driver is taking young women up to their apartments, giving them gas, and performing a little fatal amateur surgery on them. Their paths inevitably converge, and the blind man must try to stop the psychopath."
The deputy,"Drama, Foreign","Madrid, Roberto Orbea is a member of the Spanish communist party. He is married to Carmen, and he has been elected as Deputy in the first democratic elections in Spain. But his enemies, the fascist, know his double life. Roberto likes boys, and they hire Juanito to seduce the politician. They fall in love..."
Gotta Kick It Up,"Comedy, Drama","This was going to be the first year that Marshal Middle School was not going to have a dance team. All that changes when the new Biology teacher, Ms. Bartlett, agrees to be the coach. Now the girls need to prove that they are ready to compete and are able to win; not only to themselves, but to their parents and coach. Using the chant ""si, se puede"" or ""yes, I can"" the Dance team builds their confidence to perform."
Uncle Nino,"Comedy, Drama, Family","A distant, slightly dysfunctional family is brought closer together when the father's long-estranged Uncle Nino comes from Italy to Chicago for a surprise visit."
Among the Believers,Documentary,"An unsettling and eye opening exploration into the spread of the radical Islamic school Red Mosque, which trains legions of children to devote their lives to jihad, or holy war, from a very young age. With incredible access and chilling footage, Among the Believers is a timely and relevant look into the causes that have led to the growth of radical Islam in Pakistan and around the world."
Convict's Code,"Crime, Drama","On parole after three years in prison, a football player (Robert Kent) encounters the man (Sidney Blackmer) who framed him."
In Memorium,Horror,A man dying of cancer installs a series of cameras in his home to try to capture a paranormal entity that has been causing issues in the home before he dies.
Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,"Comedy, Documentary","In the spirit of the old west variety shows, Vaughn played host to the ensemble of comedians and performed improvisational sketches with surprise celebrity and musical guests. The film chronicles the journey of Vaughn and the comedians as travel over 6,000 miles and perform 30 shows in 30 consecutive nights in cities across the nation."
Babylon 5: The River of Souls,"Action, Drama, Science Fiction, Adventure",A group of Soul Hunters come to Babylon 5 demanding the return of something that was stolen from them.
Two Weeks with Love,"Comedy, Music, Romance","The Robinson family are spending two weeks of summer vacation at a resort in the Catskills. Older daughter Patti vies with her friend, Valeria, for the affections of Demi Armendez but Patti is at a disadvantage because her parents think she is too young for boys. But with Patti singing at an amateur show and a dance, her adventures in quest of Armendez ends happily."
Mortified Nation,Documentary,"Adults share their most embarrassing teenage writings and art in front of total strangers at Mortified stage shows across the country, as the filmmakers explore what the show's popularity says about all of us."
5 Flights Up,Drama,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.
The Hellcats,"Action, Thriller",The brother and fiancee of a dead policeman infiltrate a female-led biker gang to uncover his murderer.
A Dennis the Menace Christmas,"Comedy, Family","A Dennis The Menace version of A Christmas Carol where Mr. Wilson plays his own version of Scrooge. While Dennis has problems of his own with the neighborhood bully, he does his best to try and give Mr. Wilson the Christmas Spirit. Dennis causes his usual damage and Mr. Wilson ends up breaking Dennis' spirit. An Angel of Christmas Past Present and Future steps in to help save Christmas for the Mitchells, the Wilsons, and everyone else."
Erik the Conqueror,"Action, Adventure","In the 9th Century, two Viking children, separated since their early childhood with one raised by the British and the other by Vikings, meet after nearly 20 years as rivals as war breaks out between Britian and the Vikings for control of England."
Dark Souls,"Horror, Thriller","A young girl, Johanna, is attacked and seemingly murdered. Her father receives a phone call from the police pronouncing her dead as he sees her walk in the front door of their house. Strange things begin to happen to Johanna; she is disorientated and becomes pale and unresponsive. Similar attacks begin to happen, and Johanna’s father takes it on himself to find out the truth. He embarks on a dark thrill ride of lost memories, conspiracy, and zombie-like symptoms. Finding the mysterious darkness within is the source of the bizarre world he has uncovered."
Killjoy 3,Horror,"The demon clown Killjoy is resurrected once again, but this time he is not given the name of his victim and is trapped in his realm. Using a magic mirror he lures four unsuspecting college students into his realm where he can have his macabre fun! A mysterious man returns and we finally discover who Killjoy's true target is!"
The Collector,"Mystery, Drama, Thriller","Freddie is an inept bank clerk with no future. His only hobby is collecting butterflies, which gives him a feeling of power and control that is otherwise totally missing from his life. He comes into a large sum of money, and buys himself a country house. Still unable to make himself at ease socially, he starts to plan on acquiring a girl friend - in the same manner as he collects butterflies. He prepares the cellar of the house to be a collecting jar, and stalks his victim over several days."
Carlton-Browne of the F.O.,Comedy,Great Britain has had an international agreement for the last 50 years with a small pacific island. It has been ignored until the death of their king brings it to the attention of the Foreign Office in Whitehall. They decide to send Cadogan de Vere Carlton-Browne to re-establish friendly relations.
Crazy Me,Comedy,"Andrea is having a bad luck with girls. Maybe because he's only man in his big family which include mother, three sisters, grandma, nurse and a dog which is of course female also."
The Sinking of the Laconia,"Drama, History, War","Two-part drama based on the true story of the Allied ship Laconia, sunk in WWII by a German U-Boat, which then surfaced against orders to rescue the civilian crew"
Trans-Europ-Express,Thriller,"A film director, Jean, his producer, Marc, and his assistant, Lucette, board the Trans-Europ-Express in Paris bound for Antwerp. Once in their compartment it occurs to them that the drama of life aboard the train presents possibilities for a film, and they begin to write a script about dope smuggling. Subsequently, they see actor Jean-Louis Trintignant walking through the station. As seen through the eyes of Jean, Marc, and Lucette, Trintignant becomes Elias, the chief character in the script. Elias is going to Antwerp to pick up a suitcase of cocaine for delivery to an international organization based in Paris."
Zombie Wars,Horror,"Fifty years after a world-wide zombie epidemic had begun, a small group of rebel soldiers learn that intelligent zombies have begun breeding humans for food. The soldiers plan an all-out war to rid the Earth of the flesh-eating monsters for good, as the rest of the surviving world's population struggles to survive against the zombie hordes."
An Injury to One,Documentary,"An experimental documentary exploring the turn-of-century lynching of union organizer Frank Little in Butte, Montana."
Young Man of Manhattan,"Comedy, Music, Romance",Two flappers (Claudette Colbert and Ginger Rogers) try to get their newspaper reporter boyfriends to pay attention to them.
Safety Not Guaranteed,"Comedy, Romance, Science Fiction, Drama",Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.
The Living Daylights,"Action, Adventure, Thriller",James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious.
Strange Powers: Stephin Merritt and the Magnetic Fields,"Documentary, Music","Ten years in the making, Strange Powers is an intimate documentary portrait of songwriter Stephin Merritt and his band the Magnetic Fields. With his unique gift for memorable melodies, lovelorn lyrics and wry musical stylings that blend classic Tin Pan Alley with modern sounds, Stephin Merritt has distinguished himself as one of contemporary pop's most beloved and influential artists."
They Call Us Misfits,Documentary,A documentary film depicting a group of young boys from Stockholm which live on the outskirts of society. The film is the first part of a trilogy.
Varg Veum - Bitter Flowers,"Crime, Drama, Thriller","Karsten Aslaksen, chief engineer of a large chemical company, disappears without trace. His married lover, a successful politician named Vibeke Farang, approaches private investigator Varg Veum to track him down discreetly."
Busting,"Drama, Action, Crime",LA cops Gould and Blake get in over their heads when they don't heed orders from above and go after a big crime boss.
10.5,"Adventure, Action, Drama","An earthquake reaching a 10.5 magnitude on the Richter scale, strikes the west coast of the U.S. and Canada. A large portion of land falls into the ocean, and the situation is worsened by aftershocks and tsunami."
Kumaré,Documentary,"A documentary about a man who impersonates a wise Indian Guru and builds a following in Arizona. At the height of his popularity, the Guru Kumaré must reveal his true identity to his disciples and unveil his greatest teaching of all."
The Happiness of the Katakuris,"Horror, Comedy, Drama","The Katakuri family has just opened their guest house in the mountains. Unfortunately their first guest commits suicide and in order to avoid trouble they decide to bury him in the backyard. Things get way more complicated when their second guest, a famous sumo wrestler, dies while having sex with his underage girlfriend and the grave behind the house starts to fill up more and more."
Please Kill Mr. Know It All,"Comedy, Crime, Romance",An anonymous advice columnist finds herself caught in an unlikely romance with the man who has been hired to kill her alter ego.
400 Days,"Mystery, Science Fiction, Thriller","4 would be astronauts spend 400 days in a land locked space simulator to test the psychological effects of deep space travel but, when something goes terribly wrong and they are forced to leave the simulation, they discover that everything on earth has changed. Is this real or is the simulation on a higher level than they could have ever imagined?"
Rumor Has It...,Comedy,"Sarah Huttinger's return home with her fiance convinces her that the sedate, proper, country-club lifestyle of her family isn't for her – and that maybe the Huttinger family isn't even hers – as she uncovers secrets that suggest the Huttingers are neither sedate nor proper."
Ricky Rapper and the Bicycle Thief,"Comedy, Family, Music, Foreign","Summer vacation has just begun. In honor of Peace Rapper and Lennart Lindberg decide to go on holiday. The duration of Ricky Rapper and Nelli Nuudelipäätä will handle the harsh Elvi - aunt. Luckily, Ricky gets a great comfort to the new bike, but as soon as mysteriously disappears. Risto and Nelli leave together in search of the wheel, and it begins with the thrilling adventure."
The Ballad of Cable Hogue,"Action, Comedy, Western","Double-crossed and left without water in the desert, Cable Hogue is saved when he finds a spring. It is in just the right spot for a much needed rest stop on the local stagecoach line, and Hogue uses this to his advantage. He builds a house and makes money off the stagecoach passengers. Hildy, a prostitute from the nearest town, moves in with him. Hogue has everything going his way until the advent of the automobile ends the era of the stagecoach."
The Filth and the Fury,"Documentary, Music","Julien Temple's second documentary profiling punk rock pioneers the Sex Pistols is an enlightening, entertaining trip back to a time when the punk movement was just discovering itself. Featuring archival footage, never-before-seen performances, rehearsals, and recording sessions as well as interviews with group members who lived to tell the tale--including the one and only John Lydon (aka Johnny Rotten)."
Nancy Drew,"Action, Adventure, Crime, Family, Mystery, Thriller",Intrepid teenage private eye Nancy Drew heads to Tinseltown with her father to investigate the unsolved murder of a movie star in this old-fashioned whodunit based on Carolyn Keene's popular series of books for young adults. But can the small-town girl cut through the Hollywood hype to solve the case?
The Caine Mutiny,"Drama, War","When a US Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny."
Perfume,"Comedy, Drama","A week in the lives of a group of models, photographers, agents, reporters, publicists and other characters during a wild modeling show in New York City."
Husbands and Wives,"Romance, Comedy, Drama","When Jack and Sally announce that they're splitting up, this comes as a shock to their best friends Gabe and Judy. Maybe mostly because they also are drifting apart and are now being made aware of it. So while Jack and Sally try to go on and meet new people, the marriage of Gabe and Judy gets more and more strained, and they begin to find themselves being attracted to other people."
Tropical Carmine,Unknown,"This mesmerizing mystery delves deep into the heart, mind, and soul of Mabel, a Mexican muxe (transwoman) who revives past demons when she comes face to face with the people, places and memories of a faraway life. After learning that her dear friend Daniela has suddenly died, Mabel travels back to her hometown of Juchitán, Oaxaca only to discover that everything is both the same and different at once. She soon finds herself immersed in a tale of crime and passion that reveals shocking moments of emotional turmoil and unadulterated truth. Part psychological thriller, part personal love story, Carmín Tropical is a layered exploration of gender and culture in a familiar world turned upside down."
My Grandpa the Bankrobber,Foreign,"In order to find her father in Surinam Grace is forced to take some desperate measures. Grace is the only black child of an all-white family, desperate to find out everything about her Surinam father. Grandpa can help her, but his memory gets worse every day since the death of his wife. When the family decide to put Grandpa into a retirement home, he and Grace decide to use his savings to travel to Surinam - but the family has blocked access to his bank account. But their dreams can come true if they rob the bank"
Prime Suspect 6: The Last Witness,"Crime, Drama, Thriller, TV Movie","Detective Superintendent Jane Tennison's investigation of the murder of a Bosnian refugee leads her to one, or possibly two, Serbian war criminals determined to silence the last witness to a massacre a decade before."
Sordid Lives,Comedy,"""Sordid Lives"" is about a family in a small Texas town preparing for the funeral of the mother. Among the characters are the grandson trying to find his identity in West Hollywood, the son who has spent the past twenty-three years dressed as Tammy Wynette, the sister and her best friend (who live in delightfully kitschy homes), and the two daughters (one strait-laced and one quite a bit looser)."
Experiment in Terror,"Crime, Thriller","Kelly Sherwood is terrorized by a man with an asthmatic voice who plans to use her to steal $100,000 from the bank where she works. He threatens to kill her teenage sister Toby, if she tells the police. However she manages to contact F.B.I. agent Ripley."
Roja,"Drama, Action, Romance, Foreign","Roja lives in a Tamil village, and her sister is about to marry a man from the city, who decides to marry Roja instead and gets a job assignment in Kashmir, where some militants decide to kidnap them."
Sylvia Scarlett,"Comedy, Drama, Romance","Sylvia Scarlett and her father, Henry, flee France one step ahead of the police. Henry, while employed as a bookkeeper for a lace factory, was discovered to be an embezzler. While on the channel ferry, they meet a ""gentleman adventurer"", Jimmy Monkley, who partners with them in his con games."
Pineapple Express,"Action, Comedy",A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder.
The Blood of Fu Manchu,"Adventure, Crime, Horror, Science Fiction, Thriller","Fu Manchu inoculates ten women with poison, to kill ten world leaders."
A Brave Heart: The Lizzie Velasquez Story,Documentary,"A documentary following the inspiring journey of 25 yr old, 58 pound Lizzie from cyber-bullying victim to anti-bullying activist"
My Son,Unknown,"Lee Gang-sik sits in jail with a life sentence because of murder. His good behavior the last 15 years earns him the opportunity to be released for one day &amp; visit his family. But how will his son, whom he let down for 15 years, react?"
Bad Night,"Comedy, Adventure","When Kate and Abby are mistaken for famous art thieves, their fun night out quickly goes from good to bad."
Crac,Animation,This short animation takes as its protagonist a wooden rocking chair that serves as a tool to delve in no more than 15 minutes on a journey through the history of Quebec in the last century.
Back Street,Drama,"Previously filmed in 1932, and remade a third time in 1961, this second film version of Fannie Hurst's novel stars Margaret Sullavan as a fashion designer in love with a married banker (Charles Boyer). Directed by Robert Stevenson, the film also stars Richard Carlson, Tim Holt, Frank McHugh, Esther Dale and Cecil Cunningham."
The Traveling Executioner,"Comedy, Drama, Western","Jonas Candide performs his job as state executioner in early 20th century Mississippi like a combination preacher and carnival barker, persuading condemned men to accept their deaths before electrocuting them on his electric chair. After he's assigned his first woman to execute, however, Jonas' sense of purpose is shaken."
The Atrocity Exhibition,"Drama, Horror",A scientist obsessed with World War III hits the road with a woman so he can re-create scenes from history.
Win It All,Comedy,A gambling addict faces a conflict when entrusted with keeping a bunch of money that isn't his.
Tears of April,"Drama, War",There is civil war in Finland. Between whites vs reds. A woman soldier of reds is captured by the whites. She is ordered to be executed.
The Very Thought of You,"Comedy, Romance","Laurence recounts to his neighbour how his life long friendship with Frank and Daniel has been overturned in just three days by their each independently meeting, and falling for, Martha, who has no idea of their connection. Slowly the tale unfolds, the narrative moving backwards and forwards gradually filling in the gaps until we see the whole picture"
Onegin,"Drama, Romance","In the opulent St. Petersburg of the Empire period, Eugene Onegin is a jaded but dashing aristocrat - a man often lacking in empathy, who suffers from restlessness, melancholy and, finally, regret. Through his best friend Lensky, Onegin is introduced to the young Tatiana. A passionate and virtuous girl, she soon falls hopelessly under the spell of the aloof newcomer and professes her love for him"
The Book of Life,"Comedy, Fantasy","The end of the millenium has taken on a certain significance in modern day prophecies. What happens if Jesus Christ has second thoughts about the Apocalypse? It is December 31, 1999 and New Year's Eve takes on new meaning when the Devil, Jesus Christ, and Christ's assistant Magdelina discuss and debate the end of the world, the opening of the seven seals, and the essence of being human."
The Edge of Love,"Drama, History, Romance","The Edge of love is a love story of two feisty women and a brilliant, charismatic poet who love both women. One woman Vera Phillips who is his first love and whom he lost for ten year, while other one is his present wife Caitlin who is adventurous and felt same adventurous nature in this charismatic poet, Dylan Thomas, also."
The Bedroom Window,"Crime, Thriller, Mystery","Terry Lambert is sleeping with Sylvia, the wife of his boss. One night, while in Terry's apartment, Sylvia witnesses a man assault a young woman, Denise, on the road below. Not wanting to reveal her affair with Terry, she keeps quiet. Terry instead steps forward, trying to help nab the criminal. However, he never saw the suspect and, when his lies are uncovered, the police begin to suspect his motives."
The Life and Death of Colonel Blimp,"War, Comedy, Drama, Romance","General Clive Candy lives through four decades of war and peace - from the Boer War to World War II - trying to stay true to his belief that ""right will always defeat might"" and trying to stay relevant while the world changes irrevocably around him."
Invisible Ghost,"Horror, Mystery, Thriller","The town's leading citizen is a man victim of homicidal impulses beyond his control. He is being controlled by his wife who had left him for another man. She was involved in a car accident that has left her brain damaged and is kept in the basement, in secret, by Kessler's gardener."
The Strange Woman,Drama,"Alluring Hedy Lamarr plays Jenny, a lusty, sociopathic lass in the wilds of 18th Century Bangor, Maine, who uses her beauty to snare a local, rich, middle-aged businessman (Gene Lockhart). She then seduces his weak-willed son (Louis Hayward) and later goes after John (George Sanders)-- a tall, dark, handsome woodsman engaged to her friend."
